run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,method,samples,unique_basins,shannon_entropy_nats,normalized_entropy,collision_probability_p_q1,effective_basin_count,top_basin_mass,best_energy_mhz,mean_energy_mhz,energy_std_mhz,mean_replica_overlap,mean_pairwise_hamming,negative_overlap_mass,low_energy_threshold_mhz,low_energy_mass,unique_low_energy_basins,reference_minima,reference_basin_coverage,effective_basin_count_ci_lower,effective_basin_count_ci_upper,normalized_entropy_ci_lower,normalized_entropy_ci_upper,mean_energy_mhz_ci_lower,mean_energy_mhz_ci_upper,mean_pairwise_hamming_ci_lower,mean_pairwise_hamming_ci_upper,low_energy_mass_ci_lower,low_energy_mass_ci_upper,wall_seconds,generation_energy_evaluations,descent_flip_cost_evaluations
g00_p002_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,uniform_random,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0,6.580176778125515,7.744000779442616,0.9116555043734873,0.9610345641456436,-11.565976620517327,-11.466372886206374,3.315847222222222,3.4915105555555557,0.09,0.14666666666666667,0.003531677999490057,0,7659
g00_p002_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,simulated_annealing,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0,4.6690385279019635,6.33229916635089,0.8578705156871219,0.925603546982732,-11.972149486640872,-11.791473237448201,3.1797172222222225,3.476306666666667,0.30666666666666664,0.41,0.787415036999846,108000,81
g00_p002_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,quantum,300.0,9,0.8266094340854699,0.3762061660022029,0.6726444444444445,1.4866695298820574,0.8166666666666667,-13.006005166386513,-12.694973200031965,0.6579389490569553,0.7359358024691358,1.1882888888888887,0.09506666666666666,-12.756005166386513,0.8166666666666667,1,9,1.0,1.3500501812836598,1.6196724581463604,0.3084656314509617,0.42756892277627245,-12.766723188018654,-12.63450634727376,0.9452494444444445,1.3724072222222221,0.7798333333333333,0.8584166666666666,0.06574319799983641,,225
g00_p002_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,uniform_random,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0,6.247796063679332,7.21737963490577,0.8881619213357863,0.9377598648103802,-11.531339943700088,-11.429486731496175,3.294547222222222,3.449045,0.06,0.12,0.0035142719998475513,0,7578
g00_p002_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,simulated_annealing,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0,5.347259993696753,7.0136437063643084,0.8870726670687044,0.9485280168031819,-11.898599638816172,-11.72176902708832,3.306391111111111,3.582942777777778,0.26158333333333333,0.36174999999999996,0.7877107869999236,108000,81
g00_p003_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,quantum,300.0,9,0.7265628167987775,0.33067298822936786,0.7256222222222223,1.37812758398922,0.85,-13.006005166386513,-12.741072997510436,0.6333009198007863,0.7511851851851852,1.1196666666666668,0.1428888888888889,-12.756005166386513,0.85,1,9,1.0,1.2444288949230449,1.5122571666179647,0.24651479556756348,0.393755116503205,-12.82189386416259,-12.66984277669793,0.775406111111111,1.3573616666666661,0.8096666666666666,0.8950833333333332,0.07139263299995946,,225
g00_p003_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,uniform_random,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0,6.580176778125515,7.744000779442616,0.9116555043734873,0.9610345641456436,-11.565976620517327,-11.466372886206374,3.315847222222222,3.4915105555555557,0.09,0.14666666666666667,0.003531677999490057,0,7659
g00_p003_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,simulated_annealing,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0,4.6690385279019635,6.33229916635089,0.8578705156871219,0.925603546982732,-11.972149486640872,-11.791473237448201,3.1797172222222225,3.476306666666667,0.30666666666666664,0.41,0.787415036999846,108000,81
g00_p003_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,quantum,300.0,9,0.8920375960214696,0.4059838057623228,0.6507777777777779,1.5366228444596206,0.8033333333333333,-13.006005166386513,-12.664788176021128,0.6919838203295652,0.6834024691358025,1.424688888888889,0.1786,-12.756005166386513,0.8033333333333333,1,9,1.0,1.4134540013941603,1.68455963194568,0.3439577041240682,0.45598519999054504,-12.725402328771697,-12.603805633361354,1.2077777777777776,1.6468005555555554,0.7649166666666667,0.8384166666666666,0.07293209900035436,,261
g00_p003_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,uniform_random,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0,6.247796063679332,7.21737963490577,0.8881619213357863,0.9377598648103802,-11.531339943700088,-11.429486731496175,3.294547222222222,3.449045,0.06,0.12,0.0035142719998475513,0,7578
