run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,baseline,jensen_shannon_bits,total_variation,hellinger,support_jaccard,candidate_mass_on_reference_support,reference_mass_on_candidate_support,quantum_samples,quantum_unique_basins,quantum_shannon_entropy_nats,quantum_normalized_entropy,quantum_collision_probability_p_q1,quantum_effective_basin_count,quantum_top_basin_mass,quantum_best_energy_mhz,quantum_mean_energy_mhz,quantum_energy_std_mhz,quantum_mean_replica_overlap,quantum_mean_pairwise_hamming,quantum_negative_overlap_mass,quantum_low_energy_threshold_mhz,quantum_low_energy_mass,quantum_unique_low_energy_basins,quantum_reference_minima,quantum_reference_basin_coverage,baseline_samples,baseline_unique_basins,baseline_shannon_entropy_nats,baseline_normalized_entropy,baseline_collision_probability_p_q1,baseline_effective_basin_count,baseline_top_basin_mass,baseline_best_energy_mhz,baseline_mean_energy_mhz,baseline_energy_std_mhz,baseline_mean_replica_overlap,baseline_mean_pairwise_hamming,baseline_negative_overlap_mass,baseline_low_energy_threshold_mhz,baseline_low_energy_mass,baseline_unique_low_energy_basins,baseline_reference_minima,baseline_reference_basin_coverage
g00_p002_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,uniform_random,0.431208732598781,0.72,0.5665720354972495,1.0,1.0,1.0,300.0,9,0.8266094340854699,0.3762061660022029,0.6726444444444445,1.4866695298820574,0.8166666666666667,-13.006005166386513,-12.694973200031965,0.6579389490569553,0.7359358024691358,1.1882888888888887,0.09506666666666666,-12.756005166386513,0.8166666666666667,1,9,1.0,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0
g00_p002_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,0,300,10.0,1.2805351750774867,simulated_annealing,0.21977928280876347,0.5133333333333333,0.3996773003860847,1.0,1.0,1.0,300.0,9,0.8266094340854699,0.3762061660022029,0.6726444444444445,1.4866695298820574,0.8166666666666667,-13.006005166386513,-12.694973200031965,0.6579389490569553,0.7359358024691358,1.1882888888888887,0.09506666666666666,-12.756005166386513,0.8166666666666667,1,9,1.0,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0
g00_p003_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,uniform_random,0.45409579341815265,0.73,0.5830111040746756,1.0,1.0,1.0,300.0,9,0.7265628167987775,0.33067298822936786,0.7256222222222223,1.37812758398922,0.85,-13.006005166386513,-12.741072997510436,0.6333009198007863,0.7511851851851852,1.1196666666666668,0.1428888888888889,-12.756005166386513,0.85,1,9,1.0,300.0,9,2.0840991126099366,0.9485143822378733,0.13404444444444444,7.460212201591513,0.17666666666666667,-13.006005166386513,-11.518413470970433,0.5565668419009141,0.23778765432098767,3.4299555555555554,0.22673333333333331,-12.756005166386513,0.12,1,9,1.0
g00_p003_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,simulated_annealing,0.19573113811071052,0.4866666666666667,0.37552381410451036,1.0,1.0,1.0,300.0,9,0.7265628167987775,0.33067298822936786,0.7256222222222223,1.37812758398922,0.85,-13.006005166386513,-12.741072997510436,0.6333009198007863,0.7511851851851852,1.1196666666666668,0.1428888888888889,-12.756005166386513,0.85,1,9,1.0,300.0,9,1.9736023919756893,0.8982251574704139,0.18357777777777778,5.447282411330347,0.36333333333333334,-13.006005166386513,-11.888924781785976,0.8517521042696627,0.25437530864197533,3.355311111111111,0.3532222222222222,-12.756005166386513,0.36333333333333334,1,9,1.0
g00_p003_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,uniform_random,0.4406295661831236,0.7133333333333334,0.5745306670714538,1.0,1.0,1.0,300.0,9,0.8920375960214696,0.4059838057623228,0.6507777777777779,1.5366228444596206,0.8033333333333333,-13.006005166386513,-12.664788176021128,0.6919838203295652,0.6834024691358025,1.424688888888889,0.1786,-12.756005166386513,0.8033333333333333,1,9,1.0,300.0,9,2.0156683727589835,0.9173702103781564,0.1455111111111111,6.872327428222359,0.19,-13.006005166386513,-11.491849255757685,0.5000370336442559,0.24808395061728394,3.3836222222222223,0.20097777777777778,-12.756005166386513,0.09666666666666666,1,9,1.0
g00_p003_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,3.0,1.5,900,200,300,10.0,1.2805351750774867,simulated_annealing,0.20589556944252052,0.5,0.3855646349404143,1.0,1.0,1.0,300.0,9,0.8920375960214696,0.4059838057623228,0.6507777777777779,1.5366228444596206,0.8033333333333333,-13.006005166386513,-12.664788176021128,0.6919838203295652,0.6834024691358025,1.424688888888889,0.1786,-12.756005166386513,0.8033333333333333,1,9,1.0,300.0,9,2.0471568915088296,0.9317012528553987,0.15533333333333332,6.437768240343348,0.30333333333333334,-13.006005166386513,-11.789671675079886,0.8110230350239481,0.2292395061728395,3.4684222222222223,0.35142222222222225,-12.756005166386513,0.30333333333333334,1,9,1.0
g00_p004_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,uniform_random,0.02991029769336309,0.16666666666666666,0.1445834448861146,1.0,1.0,1.0,300.0,9,1.9572594277192128,0.8907871538976112,0.16755555555555557,5.968169761273209,0.29,-28.006005166386508,-24.674920811400654,2.130608478142767,0.30419259259259257,3.1311333333333335,0.1876888888888889,-27.756005166386508,0.29,1,9,1.0,300.0,9,2.0344038105230666,0.9258970755686036,0.14622222222222223,6.838905775075988,0.22,-28.006005166386508,-23.97085770568356,1.6308089711991531,0.2625382716049383,3.3185777777777776,0.19202222222222226,-27.756005166386508,0.14,1,9,1.0
g00_p004_r00,kagome_n9,clean_kagome,9,ruby_proxy,0,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,simulated_annealing,0.07125608544179958,0.29333333333333333,0.22374825426627062,1.0,1.0,1.0,300.0,9,1.9572594277192128,0.8907871538976112,0.16755555555555557,5.968169761273209,0.29,-28.006005166386508,-24.674920811400654,2.130608478142767,0.30419259259259257,3.1311333333333335,0.1876888888888889,-27.756005166386508,0.29,1,9,1.0,300.0,9,1.7439525334939368,0.7937070026807173,0.27182222222222224,3.6788750817527793,0.4866666666666667,-28.006005166386508,-25.57345536325024,2.370449962848797,0.33796543209876545,2.9791555555555553,0.3323111111111111,-27.756005166386508,0.4866666666666667,1,9,1.0
g00_p004_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,uniform_random,0.05668258905304428,0.22333333333333333,0.20023380618283237,1.0,1.0,1.0,300.0,9,1.9791628668387384,0.9007558386399237,0.15964444444444445,6.26391982182628,0.2633333333333333,-28.006005166386508,-24.554381148027158,2.0651559433328233,0.2935654320987654,3.1789555555555555,0.19026666666666667,-27.756005166386508,0.2633333333333333,1,9,1.0,300.0,9,1.9789389192533364,0.9006539157014531,0.1560666666666667,6.40751815463477,0.22,-28.006005166386508,-23.69751606597441,1.2733387232616815,0.27034074074074077,3.2834666666666665,0.1696888888888889,-27.756005166386508,0.08,1,9,1.0
g00_p004_r01,kagome_n9,clean_kagome,9,ruby_proxy,1,2.0,-6.0,6.0,3.0,300,0,300,40.0,1.2805351750774867,simulated_annealing,0.08343046709302877,0.31333333333333335,0.24240916770064141,1.0,1.0,1.0,300.0,9,1.9791628668387384,0.9007558386399237,0.15964444444444445,6.26391982182628,0.2633333333333333,-28.006005166386508,-24.554381148027158,2.0651559433328233,0.2935654320987654,3.1789555555555555,0.19026666666666667,-27.756005166386508,0.2633333333333333,1,9,1.0,300.0,9,1.781612358260898,0.8108467275661079,0.2576222222222222,3.881652721469853,0.47,-28.006005166386508,-25.487490583720554,2.373921282393759,0.3205679012345679,3.057444444444444,0.34515555555555555,-27.756005166386508,0.47,1,9,1.0
