run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,baseline,jensen_shannon_bits,total_variation,hellinger,support_jaccard,candidate_mass_on_reference_support,reference_mass_on_candidate_support,quantum_samples,quantum_unique_basins,quantum_shannon_entropy_nats,quantum_normalized_entropy,quantum_collision_probability_p_q1,quantum_effective_basin_count,quantum_top_basin_mass,quantum_best_energy_mhz,quantum_mean_energy_mhz,quantum_energy_std_mhz,quantum_mean_replica_overlap,quantum_mean_pairwise_hamming,quantum_negative_overlap_mass,quantum_low_energy_threshold_mhz,quantum_low_energy_mass,quantum_unique_low_energy_basins,quantum_reference_minima,quantum_reference_basin_coverage,baseline_samples,baseline_unique_basins,baseline_shannon_entropy_nats,baseline_normalized_entropy,baseline_collision_probability_p_q1,baseline_effective_basin_count,baseline_top_basin_mass,baseline_best_energy_mhz,baseline_mean_energy_mhz,baseline_energy_std_mhz,baseline_mean_replica_overlap,baseline_mean_pairwise_hamming,baseline_negative_overlap_mass,baseline_low_energy_threshold_mhz,baseline_low_energy_mass,baseline_unique_low_energy_basins,baseline_reference_minima,baseline_reference_basin_coverage
g00_p001_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,simulated_annealing,0.132588300640907,0.3420000000000001,0.3140665109478441,0.9032258064516129,0.99,0.988,500.0,30,2.9396318960196846,0.8642932373960299,0.07107200000000002,14.07023863124718,0.14,-7.268416771394149,-6.661285643230336,0.6209304865072119,0.24266,4.54404,0.22796000000000002,-7.018416771394149,0.516,6,31,0.967741935483871,500.0,29,2.5796740957921145,0.766096662140456,0.110256,9.069801189957916,0.192,-7.268416771394149,-6.885882291417811,0.5081681173195502,0.29521200000000003,4.228728,0.19843999999999998,-7.018416771394149,0.65,6,31,0.9354838709677419
g00_p001_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,parallel_tempering,0.2891171182605457,0.44600000000000006,0.5071049528788744,0.3333333333333333,0.652,1.0,500.0,30,2.9396318960196846,0.8642932373960299,0.07107200000000002,14.07023863124718,0.14,-7.268416771394149,-6.661285643230336,0.6209304865072119,0.24266,4.54404,0.22796000000000002,-7.018416771394149,0.516,6,31,0.967741935483871,500.0,10,1.6480728511298357,0.715748945020247,0.265536,3.7659677030609786,0.45,-7.268416771394149,-7.179963573490277,0.0939393752065944,0.6289493333333332,2.2263040000000007,0.006864,-7.018416771394149,0.962,6,31,0.3225806451612903
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,uniform_random,0.1614472532829661,0.408,0.347975546907217,0.9032258064516129,1.0,0.966,500.0,28,2.559554039011276,0.7681263353420937,0.11376800000000001,8.78981787497363,0.202,-7.268416771394149,-6.89424052276071,0.49322730244268365,0.36978800000000006,3.781272,0.12895200000000004,-7.018416771394149,0.672,6,31,0.9032258064516129,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,simulated_annealing,0.11533965561540659,0.28,0.30037272149392685,0.7741935483870968,0.982,0.972,500.0,28,2.559554039011276,0.7681263353420937,0.11376800000000001,8.78981787497363,0.202,-7.268416771394149,-6.89424052276071,0.49322730244268365,0.36978800000000006,3.781272,0.12895200000000004,-7.018416771394149,0.672,6,31,0.9032258064516129,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,parallel_tempering,0.17343434573014072,0.3360000000000001,0.3878471213100263,0.35714285714285715,0.8180000000000001,1.0,500.0,28,2.559554039011276,0.7681263353420937,0.11376800000000001,8.78981787497363,0.202,-7.268416771394149,-6.89424052276071,0.49322730244268365,0.36978800000000006,3.781272,0.12895200000000004,-7.018416771394149,0.672,6,31,0.9032258064516129,500.0,10,1.691354813990251,0.7345460626564668,0.26304800000000006,3.801587542957938,0.454,-7.268416771394149,-7.176025213106007,0.100940982865877,0.611856,2.3288640000000003,0.009568,-7.018416771394149,0.9460000000000001,6,31,0.3225806451612903
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,uniform_random,0.122303933028762,0.356,0.30246358096290993,0.9032258064516129,1.0,0.97,500.0,28,2.586198445376856,0.7761223650828311,0.11233599999999999,8.901865831078196,0.208,-7.268416771394149,-6.881273883736441,0.5016509684449224,0.35260666666666673,3.8843599999999996,0.13936799999999996,-7.018416771394149,0.644,6,31,0.9032258064516129,500.0,31,3.1698193327359934,0.9230725521038279,0.050952,19.62631496310253,0.1,-7.268416771394149,-6.460252297333855,0.6376530303127496,0.194596,4.832424,0.258272,-7.018416771394149,0.37,6,31,1.0
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,simulated_annealing,0.07772403151678985,0.23800000000000002,0.24558297157878686,0.8387096774193549,0.996,0.972,500.0,28,2.586198445376856,0.7761223650828311,0.11233599999999999,8.901865831078196,0.208,-7.268416771394149,-6.881273883736441,0.5016509684449224,0.35260666666666673,3.8843599999999996,0.13936799999999996,-7.018416771394149,0.644,6,31,0.9032258064516129,500.0,29,2.5796740957921145,0.766096662140456,0.110256,9.069801189957916,0.192,-7.268416771394149,-6.885882291417811,0.5081681173195502,0.29521200000000003,4.228728,0.19843999999999998,-7.018416771394149,0.65,6,31,0.9354838709677419
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,parallel_tempering,0.22372418139685957,0.3980000000000001,0.43866856047244723,0.35714285714285715,0.796,1.0,500.0,28,2.586198445376856,0.7761223650828311,0.11233599999999999,8.901865831078196,0.208,-7.268416771394149,-6.881273883736441,0.5016509684449224,0.35260666666666673,3.8843599999999996,0.13936799999999996,-7.018416771394149,0.644,6,31,0.9032258064516129,500.0,10,1.6480728511298357,0.715748945020247,0.265536,3.7659677030609786,0.45,-7.268416771394149,-7.179963573490277,0.0939393752065944,0.6289493333333332,2.2263040000000007,0.006864,-7.018416771394149,0.962,6,31,0.3225806451612903
g00_p003_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,300,300,8.333333333333334,1.104500186288899,uniform_random,0.06336505335797313,0.25,0.21274679590404547,0.967741935483871,1.0,0.996,500.0,30,3.0036387998733147,0.8831121698692609,0.067608,14.79114897645249,0.142,-7.268416771394149,-6.691267588051456,0.6042881846685946,0.23944133333333334,4.563352,0.233568,-7.018416771394149,0.524,6,31,0.967741935483871,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0
g00_p003_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,300,300,8.333333333333334,1.104500186288899,simulated_annealing,0.12812607859575953,0.31,0.31539753664968934,0.8387096774193549,0.95,0.998,500.0,30,3.0036387998733147,0.8831121698692609,0.067608,14.79114897645249,0.142,-7.268416771394149,-6.691267588051456,0.6042881846685946,0.23944133333333334,4.563352,0.233568,-7.018416771394149,0.524,6,31,0.967741935483871,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839
