run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,method,samples,unique_basins,shannon_entropy_nats,normalized_entropy,collision_probability_p_q1,effective_basin_count,top_basin_mass,best_energy_mhz,mean_energy_mhz,energy_std_mhz,mean_replica_overlap,mean_pairwise_hamming,negative_overlap_mass,low_energy_threshold_mhz,low_energy_mass,unique_low_energy_basins,reference_minima,reference_basin_coverage,effective_basin_count_ci_lower,effective_basin_count_ci_upper,normalized_entropy_ci_lower,normalized_entropy_ci_upper,mean_energy_mhz_ci_lower,mean_energy_mhz_ci_upper,mean_pairwise_hamming_ci_lower,mean_pairwise_hamming_ci_upper,low_energy_mass_ci_lower,low_energy_mass_ci_upper,wall_seconds,generation_energy_evaluations,descent_flip_cost_evaluations
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,quantum,500.0,28,2.559554039011276,0.7681263353420937,0.11376800000000001,8.78981787497363,0.202,-7.268416771394149,-6.89424052276071,0.49322730244268365,0.36978800000000006,3.781272,0.12895200000000004,-7.018416771394149,0.672,6,31,0.9032258064516129,7.750810520733892,9.773827826830313,0.7446374065855129,0.8092130490876341,-6.934356421735566,-6.848764059821193,3.6014209999999998,3.9434270000000002,0.628,0.71605,0.8432040750012675,,5268
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,uniform_random,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0,16.962780336036925,19.850880236853964,0.8899388550149469,0.9264427889901374,-6.481299602343314,-6.373040483693321,4.7657114,4.9630394,0.29185,0.37005,0.007092777999787359,0,24384
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,simulated_annealing,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839,8.121512796319593,9.666785925602118,0.7365672929308275,0.7941139284871571,-6.955252955956982,-6.866756771309821,3.9946094000000008,4.314274600000001,0.6198,0.702,3.1850533750002796,360000,540
g00_p002_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,parallel_tempering,500.0,10,1.691354813990251,0.7345460626564668,0.26304800000000006,3.801587542957938,0.454,-7.268416771394149,-7.176025213106007,0.100940982865877,0.611856,2.3288640000000003,0.009568,-7.018416771394149,0.9460000000000001,6,31,0.3225806451612903,3.374498328055784,4.347549883714826,0.6977654764469459,0.7709734027065465,-7.18384663930231,-7.165444996748724,2.1676456,2.5164944000000005,0.928,0.964,2.886143075000291,312010,216
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,quantum,500.0,28,2.586198445376856,0.7761223650828311,0.11233599999999999,8.901865831078196,0.208,-7.268416771394149,-6.881273883736441,0.5016509684449224,0.35260666666666673,3.8843599999999996,0.13936799999999996,-7.018416771394149,0.644,6,31,0.9032258064516129,7.895626510100299,9.887618258262421,0.7569059586576288,0.8110310767757629,-6.920293247210207,-6.840355770684086,3.7215738,4.059532600000001,0.608,0.6840999999999999,0.807027871000173,,5352
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,uniform_random,500.0,31,3.1698193327359934,0.9230725521038279,0.050952,19.62631496310253,0.1,-7.268416771394149,-6.460252297333855,0.6376530303127496,0.194596,4.832424,0.258272,-7.018416771394149,0.37,6,31,1.0,17.171043437468466,21.012023094080448,0.8990438094899645,0.9378045616244141,-6.516043664306346,-6.39259606671465,4.7200692,4.925804800000001,0.32195,0.4101000000000001,0.006214000999534619,0,24276
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,simulated_annealing,500.0,29,2.5796740957921145,0.766096662140456,0.110256,9.069801189957916,0.192,-7.268416771394149,-6.885882291417811,0.5081681173195502,0.29521200000000003,4.228728,0.19843999999999998,-7.018416771394149,0.65,6,31,0.9354838709677419,8.123532254717201,9.796636902156143,0.7432768445027652,0.7959490730530576,-6.923309995339153,-6.838680783631241,4.0543038,4.395965200000001,0.61185,0.68805,3.6053729560007923,360000,516
g00_p002_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,900,0,300,8.333333333333334,1.104500186288899,parallel_tempering,500.0,10,1.6480728511298357,0.715748945020247,0.265536,3.7659677030609786,0.45,-7.268416771394149,-7.179963573490277,0.0939393752065944,0.6289493333333332,2.2263040000000007,0.006864,-7.018416771394149,0.962,6,31,0.3225806451612903,3.3503817159291565,4.239299432620408,0.6789667684741587,0.758727801779257,-7.188293550978051,-7.170970821385092,2.0581908,2.4095668,0.94395,0.978,3.3540980859997944,312010,240
g00_p003_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,300,300,8.333333333333334,1.104500186288899,quantum,500.0,30,3.0036387998733147,0.8831121698692609,0.067608,14.79114897645249,0.142,-7.268416771394149,-6.691267588051456,0.6042881846685946,0.23944133333333334,4.563352,0.233568,-7.018416771394149,0.524,6,31,0.967741935483871,12.661761784984165,16.04346579102842,0.8549216295523598,0.8992992228670755,-6.747125829380367,-6.644344103960871,4.3812026,4.6873036,0.4859,0.5701,0.9619595290005236,,6060
g00_p003_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,900,300,300,8.333333333333334,1.104500186288899,uniform_random,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0,16.962780336036925,19.850880236853964,0.8899388550149469,0.9264427889901374,-6.481299602343314,-6.373040483693321,4.7657114,4.9630394,0.29185,0.37005,0.007092777999787359,0,24384
